Proxy,YeslerID
7969492,yesler
7373511,yesler
7066547,not_yesler
7933559,yesler
7272558,yesler
7128580,not_yesler
7877596,not_yesler
7451529,not_yesler
7768019,yesler
7862087,yesler
7070087,yesler
7946081,not_yesler
7401094,not_yesler
7246032,not_yesler
7042033,not_yesler
7269030,not_yesler
7014022,yesler
7085069,not_yesler
7628007,yesler
7872007,not_yesler
7482001,not_yesler
7100001,yesler
7055001,yesler
7769001,not_yesler
7105211,not_yesler
7586218,yesler
7565245,not_yesler
7783245,not_yesler
7540244,not_yesler
7199244,not_yesler
7853244,not_yesler
7208244,not_yesler
7145259,not_yesler
7336259,not_yesler
7835259,yesler
7184252,not_yesler
7783253,yesler
7060255,yesler
7389289,not_yesler
7633283,yesler
7761281,yesler
7811280,not_yesler
7078280,not_yesler
7290280,not_yesler
7228280,not_yesler
7266285,not_yesler
7894299,not_yesler
7947292,not_yesler
7121298,not_yesler
7477295,not_yesler
7599295,not_yesler
7039238,not_yesler
7116230,not_yesler
7656230,not_yesler
7695271,yesler
7436278,not_yesler
7478275,not_yesler
7594222,not_yesler
7948228,not_yesler
7452225,not_yesler
7437225,not_yesler
7122261,not_yesler
7687261,not_yesler
7055265,not_yesler
7458208,not_yesler
7222208,not_yesler
7942200,not_yesler
7053913,yesler
7186915,not_yesler
7706915,yesler
7880949,not_yesler
7248949,not_yesler
7496942,not_yesler
7688947,not_yesler
7238947,not_yesler
7479943,not_yesler
7889941,not_yesler
7275940,not_yesler
7188946,not_yesler
7809946,not_yesler
7038946,not_yesler
7463944,not_yesler
7121959,not_yesler
7973959,not_yesler
7037952,not_yesler
7487957,not_yesler
7581951,yesler
7122958,not_yesler
7587950,yesler
7911950,not_yesler
7111956,yesler
7433955,not_yesler
7952987,not_yesler
7715983,not_yesler
7722980,yesler
7231986,not_yesler
7815984,not_yesler
7589999,not_yesler
7581993,not_yesler
7116998,not_yesler
7017990,not_yesler
7585996,not_yesler
7641996,not_yesler
7750932,not_yesler
7088933,not_yesler
7122931,yesler
7686938,yesler
7370934,yesler
7637972,not_yesler
7944971,not_yesler
7088971,not_yesler
7217971,not_yesler
7918978,not_yesler
7802970,not_yesler
7284970,not_yesler
7108975,not_yesler
7916975,not_yesler
7905975,not_yesler
7000929,not_yesler
7015927,not_yesler
7674926,not_yesler
7694925,not_yesler
7465924,not_yesler
7206969,yesler
7635967,not_yesler
7495963,not_yesler
7327963,yesler
7804963,yesler
7594961,not_yesler
7627961,not_yesler
7978961,not_yesler
7328961,not_yesler
7743961,not_yesler
7822968,yesler
7077960,not_yesler
7034960,not_yesler
7827966,yesler
7385965,not_yesler
7447964,not_yesler
7405964,not_yesler
7928964,not_yesler
7641909,not_yesler
7729909,not_yesler
7315907,not_yesler
7044901,not_yesler
7282906,not_yesler
7783610,yesler
7190615,not_yesler
7592642,not_yesler
7359643,not_yesler
7328640,not_yesler
7676657,not_yesler
7439653,not_yesler
7571651,not_yesler
7284658,not_yesler
7969650,not_yesler
7724650,not_yesler
7512656,not_yesler
7916654,not_yesler
7730681,yesler
7295688,not_yesler
7963699,not_yesler
7316693,not_yesler
7769693,not_yesler
7935696,yesler
7365696,yesler
7879696,not_yesler
7958695,yesler
7895638,yesler
7683622,not_yesler
7879622,not_yesler
7805622,not_yesler
7552628,not_yesler
7003626,yesler
7800624,not_yesler
7483667,not_yesler
7648663,not_yesler
7617668,not_yesler
7356660,yesler
7825665,yesler
7137664,not_yesler
7984664,yesler
7925664,yesler
7344664,yesler
7247664,not_yesler
7649602,yesler
7290602,yesler
7205601,not_yesler
7449606,not_yesler
7904606,not_yesler
7209119,not_yesler
7796119,not_yesler
7465112,not_yesler
7800117,not_yesler
7705117,not_yesler
7653113,not_yesler
7866116,not_yesler
7018116,yesler
7509115,not_yesler
7253149,not_yesler
7382142,not_yesler
7326142,not_yesler
7939148,yesler
7507145,not_yesler
7622145,yesler
7027145,not_yesler
7492159,yesler
7497157,not_yesler
7910156,not_yesler
7709155,not_yesler
7964154,not_yesler
7541187,not_yesler
7122183,not_yesler
7362183,not_yesler
7301196,not_yesler
7656195,not_yesler
7280139,not_yesler
7271133,not_yesler
7197134,not_yesler
7244173,not_yesler
7453170,yesler
7517170,not_yesler
7798170,not_yesler
7713170,not_yesler
7857174,not_yesler
7015129,not_yesler
7624122,not_yesler
7916122,not_yesler
7085122,not_yesler
7506127,yesler
7194127,not_yesler
7540123,not_yesler
7068123,not_yesler
7841126,yesler
7581124,not_yesler
7172169,not_yesler
7997167,yesler
7833168,not_yesler
7741168,not_yesler
7530164,yesler
7621164,not_yesler
7832164,not_yesler
7375107,not_yesler
7267108,yesler
7418100,yesler
7716106,yesler
7987104,not_yesler
7401312,not_yesler
7740310,not_yesler
7460315,not_yesler
7453315,not_yesler
7518314,not_yesler
7433342,not_yesler
7119347,not_yesler
7415348,yesler
7776346,not_yesler
7769346,not_yesler
7873352,not_yesler
7830351,not_yesler
7174356,not_yesler
7443355,not_yesler
7321389,not_yesler
7216389,yesler
7365382,yesler
7825381,not_yesler
7689380,not_yesler
7657380,not_yesler
7929386,not_yesler
7096385,not_yesler
7019385,not_yesler
7459397,yesler
7839397,not_yesler
7946393,yesler
7639395,yesler
7990395,yesler
7981395,yesler
7526339,not_yesler
7718333,not_yesler
7750333,not_yesler
7232331,not_yesler
7560338,not_yesler
7691338,not_yesler
7931338,not_yesler
7522330,not_yesler
7535330,not_yesler
7069330,not_yesler
7699336,not_yesler
7664336,not_yesler
7690335,not_yesler
7821335,yesler
7089335,not_yesler
7642334,not_yesler
7940372,not_yesler
7827378,not_yesler
7170376,not_yesler
7171374,not_yesler
7107374,yesler
7147322,not_yesler
7957321,not_yesler
7056321,yesler
7286321,yesler
7400328,not_yesler
7591328,not_yesler
7305324,not_yesler
7140362,yesler
7972363,not_yesler
7102360,not_yesler
7065366,not_yesler
7969302,not_yesler
7928302,not_yesler
7146300,not_yesler
7353300,yesler
7206300,not_yesler
7366306,not_yesler
7409305,yesler
7987305,not_yesler
7278305,not_yesler
7806812,not_yesler
7028813,not_yesler
7830811,not_yesler
7038811,not_yesler
7499818,yesler
7470818,yesler
7312815,yesler
7127814,yesler
7585849,yesler
7138842,not_yesler
7730847,yesler
7341841,yesler
7454840,yesler
7589846,not_yesler
7328845,not_yesler
7307844,yesler
7800851,yesler
7416855,yesler
7164855,not_yesler
7368854,not_yesler
7321854,not_yesler
7767882,yesler
7212888,not_yesler
7131880,yesler
7440885,yesler
7456885,yesler
